City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Bandarbeyla,SO,76.93,few clouds,9.4942,50.8122,JABIR HOTEL
6,Port Alfred,ZA,75.0,few clouds,-33.5906,26.891,The Halyards Hotel
7,Viedma,AR,79.0,clear sky,-40.8135,-62.9967,Hotel Cristal
14,Tarakan,ID,79.75,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
15,Saint-Philippe,RE,82.4,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
20,Grande Riviere Du Nord,HT,82.29,scattered clouds,19.5833,-72.1833,La Belle Maison
21,Cidreira,BR,75.94,broken clouds,-30.1811,-50.2056,Hotel Castelo
22,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
23,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
26,Atuona,PF,80.17,broken clouds,-9.8,-139.0333,Villa Enata
32,Roebourne,AU,78.53,few clouds,-20.7833,117.1333,Harding River Caravan Park
36,Isangel,VU,77.56,clear sky,-19.55,169.2667,Volcano Sea View Tree House
48,Namatanai,PG,79.05,broken clouds,-3.6667,152.4333,Namatanai Hotel
53,Chuy,UY,81.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
57,Castro,BR,76.26,clear sky,-24.7911,-50.0119,CHACARA BAILLY
60,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
64,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
65,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
68,Wewak,PG,78.57,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
72,Katherine,AU,77.0,light rain,-14.4667,132.2667,Pine Tree Motel
73,Taoudenni,ML,77.94,scattered clouds,22.6783,-3.9836,
79,Kirakira,SB,79.61,overcast clouds,-10.4544,161.9205,SanBiz Lodge
80,Bredasdorp,ZA,75.2,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
81,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
95,Lorengau,PG,81.55,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
96,Ransang,PH,77.95,overcast clouds,8.9603,117.5828,Mapangcal Cove
98,Mormugao,IN,80.6,scattered clouds,15.4,73.8,Coconut Creek Resort
103,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
104,Tabou,CI,82.27,light rain,4.423,-7.3528,hotêl doufoulougou
109,Finschhafen,PG,81.32,light rain,-6.6024,147.8681,Cossam Guest House
110,Acari,PE,82.54,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
112,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
113,Sao Joao Da Barra,BR,77.0,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
114,Rio Grande,BR,80.01,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
115,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Nabire,ID,75.61,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
120,Mahebourg,MU,78.8,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Varca,IN,80.6,broken clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
122,Huarmey,PE,75.9,overcast clouds,-10.0681,-78.1522,Hotel Miramar
131,Souillac,MU,78.8,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
134,Kupang,ID,79.43,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
138,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
142,Imbituba,BR,82.4,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
144,Kavieng,PG,81.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
145,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
149,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
151,Matara,LK,76.59,light rain,5.9485,80.5353,Amaloh Boutique Resort
156,Aripuana,BR,78.69,overcast clouds,-9.1667,-60.6333,
161,Bonthe,SL,83.68,broken clouds,7.5264,-12.505,Bonthe Holiday Village
168,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
174,Santa Isabel Do Rio Negro,BR,86.86,overcast clouds,-0.4139,-65.0192,Hotel GSA
175,Inhambane,MZ,86.0,scattered clouds,-23.865,35.3833,Oceano
178,Altamira,BR,89.6,scattered clouds,-3.2033,-52.2064,Requinte Hotel
182,Upata,VE,87.44,overcast clouds,8.0086,-62.3989,Posada Villa Nela
186,Itarema,BR,87.78,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
190,Paita,PE,78.98,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
191,Takoradi,GH,83.07,scattered clouds,4.8845,-1.7554,Raybow International Hotel
192,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Siesta Hotel
197,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
214,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
221,Kieta,PG,80.01,overcast clouds,-6.2167,155.6333,
225,Kuching,MY,75.2,moderate rain,1.55,110.3333,Hilton Kuching
227,Caxito,AO,82.4,few clouds,-8.5785,13.6643,
229,Rosario,AR,88.0,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
231,Puerto El Triunfo,SV,89.6,clear sky,13.2833,-88.55,Hotel Jardin
234,Saldanha,ZA,75.2,few clouds,-33.0117,17.9442,Blue Bay Lodge
236,Waingapu,ID,78.17,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
250,Severinia,BR,82.4,scattered clouds,-20.8094,-48.8028,Oasis Hotel
251,Tucupita,VE,87.19,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
254,Rocha,UY,84.7,clear sky,-34.4833,-54.3333,Beleza Pura B&B
257,Nioro,GM,86.49,overcast clouds,13.35,-15.75,
258,Bambanglipuro,ID,77.72,overcast clouds,-7.95,110.2833,Puri Brata
259,Bara,NG,89.6,broken clouds,10.3744,10.7288,
261,Barra,BR,84.7,broken clouds,-11.0894,-43.1417,Motel Albatroz
264,Moanda,GA,84.2,moderate rain,-1.5575,13.2178,Motel Hippo +
265,Hobyo,SO,77.99,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
268,San Felipe,VE,82.72,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
270,Faanui,PF,81.48,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
272,Cartagena,CO,87.8,scattered clouds,10.3997,-75.5144,Costa Del Sol
275,Gashua,NG,80.37,broken clouds,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
280,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
