City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,82.02,76,100,15.1,overcast clouds
1,Hamilton,US,39.1834,-84.5333,30.2,40,1,4.16,clear sky
2,Luderitz,NA,-26.6481,15.1594,76.1,47,0,29.57,clear sky
3,Turinskaya Sloboda,RU,57.6232,64.3858,34.5,97,100,10.76,light rain
4,Chokurdakh,RU,70.6333,147.9167,-18.65,87,97,4.85,overcast clouds
5,Bandarbeyla,SO,9.4942,50.8122,76.93,78,15,13.29,few clouds
6,Port Alfred,ZA,-33.5906,26.891,75.0,89,18,3.0,few clouds
7,Viedma,AR,-40.8135,-62.9967,79.0,45,0,1.01,clear sky
8,Henties Bay,NA,-22.116,14.2845,64.99,87,16,1.99,few clouds
9,North Bend,US,43.4065,-124.2243,44.6,93,90,3.44,overcast clouds
10,Kapaa,US,22.0752,-159.319,60.01,82,40,8.05,scattered clouds
11,Da Nang,VN,16.0678,108.2208,71.6,88,75,2.17,broken clouds
12,Mataura,NZ,-46.1927,168.8643,48.85,95,2,0.56,clear sky
13,Busselton,AU,-33.65,115.3333,59.0,95,100,1.99,light rain
14,Tarakan,ID,3.3,117.6333,79.75,80,49,5.73,scattered clouds
15,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,90,4.61,moderate rain
16,East London,ZA,-33.0153,27.9116,77.0,88,75,6.91,broken clouds
17,Codrington,AU,-38.2667,141.9667,58.3,79,91,15.03,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,60.01,60,47,1.01,scattered clouds
19,Lufkin,US,31.3382,-94.7291,50.0,93,90,8.05,overcast clouds
20,Grande Riviere Du Nord,HT,19.5833,-72.1833,82.29,58,41,3.98,scattered clouds
21,Cidreira,BR,-30.1811,-50.2056,75.94,62,56,10.4,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,77.47,75,100,13.15,overcast clouds
23,Caravelas,BR,-17.7125,-39.2481,83.12,79,93,10.78,overcast clouds
24,Cherskiy,RU,68.75,161.3,-9.9,81,0,7.09,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,55.4,47,20,6.91,few clouds
26,Atuona,PF,-9.8,-139.0333,80.17,77,57,22.41,broken clouds
27,Vardo,NO,70.3705,31.1107,27.14,94,98,28.03,light snow
28,Izberbash,RU,42.5696,47.8645,39.2,81,2,15.66,clear sky
29,Hobart,AU,-42.8794,147.3294,57.99,82,12,6.91,few clouds
30,Coihaique,CL,-45.5752,-72.0662,69.8,43,0,10.36,clear sky
