City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-02-02 21:39:18,-21.2,-175.2,78.8,94,90,6.91
1,Ancud,CL,2021-02-02 21:42:37,-41.8697,-73.8203,69.8,56,0,8.05
2,Beyneu,KZ,2021-02-02 21:47:10,45.3167,55.2,39.87,66,81,13.0
3,Mogadishu,SO,2021-02-02 21:42:24,2.0371,45.3438,75.51,78,7,21.97
4,Krasnoselkup,RU,2021-02-02 21:42:04,65.7,82.4667,-0.74,93,91,9.22
5,Ostrovnoy,RU,2021-02-02 21:42:38,68.0531,39.5131,25.43,95,100,18.41
6,Hermanus,ZA,2021-02-02 21:42:06,-34.4187,19.2345,63.0,89,0,6.87
7,Pevek,RU,2021-02-02 21:43:02,69.7008,170.3133,8.19,92,100,10.65
8,Airai,TL,2021-02-02 21:41:46,-8.9266,125.4092,61.54,100,100,1.77
9,Pangnirtung,CA,2021-02-02 21:43:36,66.1451,-65.7125,-22.0,57,20,4.61
10,Vilcun,CL,2021-02-02 21:47:11,-38.65,-72.2333,86.0,37,0,12.66
11,Jamestown,US,2021-02-02 21:42:05,42.097,-79.2353,25.0,86,90,14.97
12,Mosetse,BW,2021-02-02 21:47:11,-20.75,26.65,67.3,86,100,16.69
13,Waddan,LY,2021-02-02 21:47:11,29.1614,16.139,46.0,91,20,7.43
14,Phillipsburg,US,2021-02-02 21:44:05,40.6937,-75.1902,34.0,96,100,1.99
15,Mataura,NZ,2021-02-02 21:42:49,-46.1927,168.8643,64.17,71,99,3.87
16,Rocha,UY,2021-02-02 21:44:29,-34.4833,-54.3333,73.62,83,84,8.32
17,Alofi,NU,2021-02-02 21:42:06,-19.0595,-169.9187,82.4,83,75,10.36
18,Bluff,NZ,2021-02-02 21:37:25,-46.6,168.3333,59.92,85,100,12.28
19,Kargil,IN,2021-02-02 21:47:12,34.5667,76.1,-1.39,75,100,0.89
20,Lorengau,PG,2021-02-02 21:44:10,-2.0226,147.2712,81.84,81,100,10.89
21,Butaritari,KI,2021-02-02 21:42:12,3.0707,172.7902,81.77,84,92,19.17
22,Okoneshnikovo,RU,2021-02-02 21:47:13,54.8377,75.0834,20.88,97,100,16.02
23,Khatanga,RU,2021-02-02 21:43:48,71.9667,102.5,-27.04,85,48,7.76
24,Mahanje,TZ,2021-02-02 21:47:13,-9.9333,35.3333,64.11,95,3,2.51
25,East London,ZA,2021-02-02 21:43:05,-33.0153,27.9116,70.48,78,90,15.3
26,Kodiak,US,2021-02-02 21:40:04,57.79,-152.4072,30.2,93,90,15.7
27,Busselton,AU,2021-02-02 21:42:10,-33.65,115.3333,66.0,87,38,4.0
28,Victoria,HK,2021-02-02 21:42:11,22.2855,114.1577,63.0,75,86,1.01
29,Medina Del Campo,ES,2021-02-02 21:47:13,41.3124,-4.9141,51.01,81,90,16.11
30,Puerto Ayora,EC,2021-02-02 21:39:27,-0.7393,-90.3518,84.2,70,0,21.85
31,Grove City,US,2021-02-02 21:45:40,39.8815,-83.093,28.0,74,40,18.41
32,Kaitangata,NZ,2021-02-02 21:44:25,-46.2817,169.8464,69.01,78,97,5.01
33,Kapaa,US,2021-02-02 21:43:09,22.0752,-159.319,77.0,83,40,16.11
34,Ushuaia,AR,2021-02-02 21:42:14,-54.8,-68.3,55.4,76,75,6.91
35,Norman Wells,CA,2021-02-02 21:43:49,65.282,-126.8329,-18.4,69,75,6.91
36,Hasaki,JP,2021-02-02 21:43:49,35.7333,140.8333,26.6,93,20,3.44
37,Boca Do Acre,BR,2021-02-02 21:47:14,-8.7522,-67.3978,85.96,65,89,0.6
38,Madingou,CG,2021-02-02 21:47:15,-4.1536,13.55,75.72,91,100,0.89
39,Dwarka,IN,2021-02-02 21:47:15,22.2394,68.9678,69.1,74,25,8.12
40,Santa Barbara,US,2021-02-02 21:47:15,34.7333,-120.0343,69.01,59,1,10.36
41,Hamilton,US,2021-02-02 21:47:15,39.1834,-84.5333,33.8,47,20,17.27
42,Salalah,OM,2021-02-02 21:42:58,17.0151,54.0924,75.2,25,0,2.3
43,Tromso,NO,2021-02-02 21:47:15,69.6496,18.957,18.0,92,0,2.3
44,Tasiilaq,GL,2021-02-02 21:43:31,65.6145,-37.6368,19.4,86,90,3.44
45,Guerrero Negro,MX,2021-02-02 21:42:31,27.9769,-114.0611,79.54,19,97,5.68
46,Hashtrud,IR,2021-02-02 21:47:16,37.4779,47.0508,21.58,85,0,1.88
47,Mar Del Plata,AR,2021-02-02 21:42:25,-38.0023,-57.5575,68.0,77,75,13.8
48,Grindavik,IS,2021-02-02 21:44:23,63.8424,-22.4338,35.6,60,0,17.27
49,Karratha,AU,2021-02-02 21:44:45,-20.7377,116.8463,81.1,82,46,15.73
50,Arraial Do Cabo,BR,2021-02-02 21:43:12,-22.9661,-42.0278,80.6,69,0,17.27
51,Waipawa,NZ,2021-02-02 21:44:28,-41.4122,175.5153,69.8,60,0,9.22
52,Gushikawa,JP,2021-02-02 21:39:32,26.3544,127.8686,59.0,71,1,8.05
53,Calabar,NG,2021-02-02 21:47:17,4.9517,8.322,79.99,80,37,3.13
54,Lebu,CL,2021-02-02 21:40:07,-37.6167,-73.65,62.04,70,22,12.75
55,Qaanaaq,GL,2021-02-02 21:37:16,77.484,-69.3632,-12.1,84,100,0.98
56,Dikson,RU,2021-02-02 21:42:49,73.5069,80.5464,-23.49,84,1,13.85
57,Punta Arenas,CL,2021-02-02 21:38:17,-53.15,-70.9167,60.8,67,75,18.41
58,Aksu,CN,2021-02-02 21:42:35,41.1231,80.2644,23.77,79,0,3.6
